,life_expectancy,income,co2_emissions(tonnes/person),total_health_spending,gov_health_spending,kcal_day,sugar_g_day,Schooling,Alcohol, BMI ,children/woman
373,80.4,8200.0,1.67,811.0,553.0,2850.0,150.0,13.3,3.58,55.5,1.92
374,52.6,1340.0,0.407,31.8,8.35,2610.0,22.3,4.8,3.45,19.4,5.71
375,52.7,1310.0,0.453,24.7,5.98,2630.0,23.2,4.8,3.15,19.9,5.65
376,52.9,1260.0,0.42,23.1,6.93,2670.0,28.4,4.8,3.13,2.4,5.58
377,53.1,1220.0,0.309,29.7,7.68,2690.0,29.1,4.8,3.12,2.9,5.52
378,53.3,1220.0,0.426,36.9,9.35,2740.0,27.3,4.8,3.08,21.5,5.47
379,53.7,1220.0,0.4270000000000001,39.0,7.74,2790.0,27.3,4.8,3.11,22.1,5.42
380,54.1,1210.0,0.374,44.3,8.51,2780.0,26.6,4.8,2.65,22.6,5.38
381,54.6,1210.0,0.355,61.3,13.6,2790.0,28.3,4.8,2.58,23.2,5.34
382,55.2,1210.0,0.348,71.8,17.1,2740.0,27.6,4.8,2.69,23.8,5.3
383,55.8,1220.0,0.284,61.0,12.7,2730.0,25.2,4.8,2.92,24.4,5.26
384,56.3,1220.0,0.342,59.8,12.9,2740.0,27.1,4.8,3.15,25.0,5.22
385,73.9,10600.0,4.37,377.0,325.0,2560.0,125.0,12.2,12.73,54.7,1.44
386,74.2,10900.0,4.63,376.0,313.0,2740.0,158.0,12.3,13.15,55.2,1.42
387,74.4,11500.0,4.89,375.0,300.0,2820.0,170.0,12.6,13.39,55.8,1.39
388,74.7,12100.0,5.24,495.0,409.0,2870.0,186.0,12.9,13.78,56.3,1.38
389,74.9,12600.0,5.1,614.0,498.0,2940.0,178.0,13.3,13.11,56.9,1.37
390,75.1,13100.0,5.16,705.0,606.0,2980.0,168.0,13.6,11.59,57.5,1.38
391,75.3,13800.0,5.17,790.0,680.0,3070.0,171.0,13.9,11.83,58.1,1.4
392,75.6,14500.0,5.46,1010.0,877.0,3080.0,132.0,14.3,12.56,58.7,1.41
393,75.8,14800.0,5.19,1220.0,1040.0,3110.0,140.0,14.3,12.06,59.4,1.43
394,76.1,13700.0,4.88,1110.0,944.0,3060.0,138.0,14.2,12.21,6.0,1.45
395,76.3,13500.0,4.66,1070.0,905.0,2970.0,148.0,14.2,12.1,6.6,1.47
396,76.6,3470.0,2.34,168.0,151.0,3030.0,180.0,12.1,3.92,49.4,1.62
397,76.9,3570.0,2.28,180.0,161.0,3080.0,170.0,12.3,4.04,5.4,1.61
398,77.1,3610.0,2.33,195.0,172.0,3150.0,156.0,12.5,4.1,51.3,1.59
399,77.3,3740.0,2.27,202.0,181.0,3250.0,148.0,12.9,4.39,52.1,1.58
400,77.5,3950.0,2.22,206.0,186.0,3350.0,170.0,13.2,4.38,53.0,1.58
401,77.6,4390.0,2.3,302.0,282.0,3250.0,148.0,14.2,4.48,53.8,1.57
402,77.8,4910.0,2.43,358.0,332.0,3260.0,139.0,14.7,4.17,54.6,1.57
403,78.0,5260.0,2.37,586.0,557.0,3250.0,137.0,16.0,4.13,55.4,1.58
404,78.1,5480.0,2.69,585.0,557.0,3120.0,122.0,17.1,4.26,56.2,1.6
405,78.3,5550.0,2.64,672.0,623.0,3230.0,162.0,17.7,4.01,56.9,1.62
406,78.4,5680.0,3.39,607.0,555.0,3160.0,165.0,17.6,4.13,57.7,1.64
407,76.8,27300.0,7.35,744.0,310.0,2680.0,99.5,12.5,9.56,52.8,1.72
408,77.3,28000.0,7.13,776.0,329.0,2650.0,90.3,12.4,10.16,53.3,1.66
409,77.5,28600.0,7.19,886.0,399.0,2640.0,106.0,12.5,11.68,53.8,1.61
410,77.7,29000.0,7.8,1240.0,557.0,2610.0,111.0,13.0,10.62,54.3,1.58
411,77.9,29900.0,7.26,1340.0,588.0,2600.0,113.0,13.4,13.03,54.8,1.55
412,78.0,30600.0,7.3,1410.0,589.0,2570.0,105.0,13.5,11.41,55.3,1.52
413,78.7,31400.0,7.45,1470.0,622.0,2560.0,91.2,13.4,11.47,55.8,1.5
414,79.0,32200.0,7.7,1670.0,713.0,2640.0,100.0,13.5,11.56,56.3,1.48
415,79.3,32700.0,7.93,1920.0,796.0,2660.0,95.7,13.7,12.01,56.8,1.46
416,79.6,31200.0,7.39,1790.0,745.0,2630.0,90.3,14.1,10.8,57.3,1.44
417,79.9,30800.0,6.93,1710.0,708.0,2670.0,88.7,14.6,11.32,57.8,1.42
418,75.0,14800.0,12.0,361.0,326.0,3080.0,121.0,13.3,13.22,59.0,1.12
419,75.2,15300.0,12.0,404.0,363.0,3170.0,127.0,13.3,13.36,59.4,1.14
420,75.4,15600.0,11.7,523.0,473.0,3240.0,140.0,13.3,13.47,59.9,1.17
421,75.6,16100.0,11.9,666.0,598.0,3320.0,150.0,13.3,13.01,6.4,1.21
422,75.9,16900.0,11.4,771.0,687.0,3320.0,150.0,13.3,13.24,6.8,1.25
423,76.2,18000.0,11.7,881.0,769.0,3320.0,103.0,13.3,13.19,61.3,1.3
424,76.5,19200.0,11.9,967.0,839.0,3280.0,88.0,13.3,13.03,61.8,1.35
425,76.8,20200.0,11.9,1140.0,972.0,3260.0,95.2,13.3,13.43,62.2,1.39
426,77.1,20500.0,11.2,1470.0,1220.0,3270.0,95.8,13.3,13.25,62.6,1.42
427,77.2,19400.0,10.3,1500.0,1260.0,3280.0,107.0,13.3,13.23,63.1,1.45
428,77.5,19800.0,10.6,1480.0,1240.0,3280.0,111.0,13.3,12.69,63.6,1.47
429,76.9,55900.0,9.61,2610.0,2190.0,3310.0,147.0,16.5,11.69,52.2,1.77
430,77.1,56100.0,9.88,2730.0,2300.0,3340.0,142.0,16.2,11.56,52.8,1.75
431,77.3,56200.0,9.69,3020.0,2550.0,3370.0,158.0,16.6,11.34,53.3,1.72
432,77.5,56300.0,10.4,3750.0,3170.0,3340.0,158.0,16.3,11.54,53.9,1.76
433,77.8,57600.0,9.37,4380.0,3690.0,3380.0,159.0,16.5,11.27,54.4,1.78
434,78.1,58800.0,8.69,4650.0,3920.0,3410.0,139.0,16.6,11.28,55.0,1.8
435,78.3,60900.0,10.1,5010.0,4240.0,3410.0,148.0,16.9,11.02,55.4,1.85
436,78.6,61200.0,9.19,5670.0,4800.0,3450.0,172.0,16.7,10.99,55.9,1.85
437,78.9,60500.0,8.54,6350.0,5390.0,3330.0,147.0,16.8,10.7,56.3,1.89
438,79.2,57200.0,8.05,6450.0,5490.0,3340.0,144.0,16.8,10.08,56.6,1.84
439,79.5,58000.0,8.4,6420.0,5470.0,3400.0,147.0,16.8,10.28,57.0,1.88
450,63.7,1330.0,0.607,91.7,59.8,2470.0,83.4,5.5,0.44,32.2,3.3
451,73.2,4020.0,2.31,175.0,60.4,2220.0,96.1,12.2,6.58,43.1,2.89
452,73.4,4050.0,2.28,174.0,54.1,2260.0,111.0,12.3,6.13,44.1,2.86
453,73.5,4170.0,2.42,178.0,57.5,2290.0,111.0,12.3,6.43,45.1,2.84
454,73.5,4050.0,2.4,133.0,43.8,2140.0,106.0,12.4,6.32,46.1,2.81
455,73.3,4090.0,2.01,126.0,36.1,2220.0,106.0,12.5,5.16,47.2,2.78
456,73.5,4410.0,2.02,198.0,62.7,2330.0,108.0,12.6,5.71,48.2,2.75
457,73.6,4750.0,2.11,211.0,78.0,2370.0,102.0,12.6,6.2,49.3,2.72
458,73.9,5030.0,2.23,231.0,83.1,2400.0,105.0,12.7,6.05,5.4,2.69
459,74.2,5120.0,2.15,269.0,99.7,2350.0,103.0,12.8,6.12,51.5,2.66
460,74.4,5100.0,2.07,279.0,115.0,2390.0,95.8,12.9,6.05,52.6,2.63
461,74.6,5450.0,2.12,323.0,140.0,2530.0,90.1,12.9,6.02,53.6,2.6
462,74.3,3680.0,1.64,53.6,16.7,2290.0,52.0,12.4,3.99,43.6,3.03
463,74.6,3760.0,1.8,78.2,27.0,2220.0,50.1,12.4,4.13,44.3,2.97
